id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_tested,simulate,color_tested,figure_response,figure_target,sound_tested,sound_response,color_score,color_target,timestamp,position_tested,position_target,occupation,figure_score,sound_score,sound_target,color_response,position_response
Haj ,female,21,training_train,pretest,pcfs12,4,1,57,0,dimgray,square,sounds\T.wav,1,1,no,1,0,0,1,0,1,0,1554813445147,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,58,1,dimgray,triangle,sounds\T.wav,1,1,no,1,1,0,1,1,1,1,1554813448747,1,0,Studerende,0,1,1,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,59,3,green,star,sounds\E.wav,1,1,no,1,0,0,1,0,1,0,1554813452297,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,60,3,darkorange,circle,sounds\G.wav,1,1,no,1,0,0,1,0,1,0,1554813455863,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,61,3,yellow,circle,sounds\G.wav,1,1,no,1,0,1,1,1,1,0,1554813459447,1,1,Studerende,0,1,1,0,1
Haj ,female,21,training_train,training,ps2,2,2,1,0,white,circle,sounds\B.wav,1,0,no,0,,,1,0,,,1554813487248,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,2,5,white,circle,sounds\P.wav,1,0,no,0,,,1,0,,,1554813489798,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,3,3,white,circle,sounds\E.wav,1,0,no,0,,,1,0,,,1554813492348,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,4,8,white,circle,sounds\P.wav,1,0,no,0,,,1,0,,,1554813494898,1,0,Studerende,,0,1,,0
Haj ,female,21,training_train,training,ps2,2,2,5,7,white,circle,sounds\G.wav,1,0,no,0,,,1,0,,,1554813497448,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,6,8,white,circle,sounds\E.wav,0,0,no,0,,,1,0,,,1554813500000,1,1,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,7,7,white,circle,sounds\V.wav,1,0,no,0,,,1,0,,,1554813502565,1,1,Studerende,,1,0,,1
Haj ,female,21,training_train,training,ps2,2,2,8,1,white,circle,sounds\C.wav,1,0,no,0,,,1,0,,,1554813505115,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,9,7,white,circle,sounds\P.wav,1,0,no,0,,,1,0,,,1554813507682,1,1,Studerende,,1,0,,1
Haj ,female,21,training_train,training,ps2,2,2,10,3,white,circle,sounds\T.wav,1,0,no,0,,,1,0,,,1554813510232,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,11,8,white,circle,sounds\E.wav,1,0,no,0,,,1,0,,,1554813512782,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,12,0,white,circle,sounds\E.wav,1,0,no,0,,,1,0,,,1554813515332,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,13,2,white,circle,sounds\T.wav,1,0,no,0,,,1,0,,,1554813517883,1,0,Studerende,,1,0,,0
Haj ,female,21,training_train,training,ps2,2,2,14,0,white,circle,sounds\P.wav,1,0,no,0,,,1,0,,,1554813520449,1,1,Studerende,,1,0,,1
