id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_score,position_score,sound_tested,figure_tested,sound_target,position_response,figure_response,sound_response,sound_score,color_tested,figure_score,simulate,figure_target,position_tested,occupation,position_target,color_response,color_target,timestamp
abe,female,22,training_transfer,training,ps2,2,2,13,6,white,circle,sounds/G.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062220934
abe,female,22,training_transfer,training,ps2,2,2,14,3,white,circle,sounds/E.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062223519
abe,female,22,training_transfer,training,ps2,2,2,15,5,white,circle,sounds/P.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062226103
abe,female,22,training_transfer,training,ps2,2,2,16,7,white,circle,sounds/E.wav,,1,1,0,1,0,,1,1,0,,no,,1,Studerende,0,,,1555062228703
abe,female,22,training_transfer,training,ps2,2,2,17,5,white,circle,sounds/E.wav,,1,1,0,0,1,,0,1,0,,no,,1,Studerende,1,,,1555062231311
abe,female,22,training_transfer,training,ps2,2,2,18,4,white,circle,sounds/T.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062233885
abe,female,22,training_transfer,training,ps2,2,2,19,5,white,circle,sounds/D.wav,,1,1,0,0,1,,0,1,0,,no,,1,Studerende,1,,,1555062236480
abe,female,22,training_transfer,training,ps2,2,2,20,3,white,circle,sounds/T.wav,,1,1,0,1,0,,1,1,0,,no,,1,Studerende,0,,,1555062239069
abe,female,22,training_transfer,training,ps2,2,2,21,1,white,circle,sounds/D.wav,,1,1,0,1,0,,0,0,0,,no,,1,Studerende,0,,,1555062241653
abe,female,22,training_transfer,training,ps2,2,2,22,3,white,circle,sounds/G.wav,,1,1,0,0,1,,0,1,0,,no,,1,Studerende,1,,,1555062244262
abe,female,22,training_transfer,training,ps2,2,2,23,0,white,circle,sounds/E.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062246836
abe,female,22,training_transfer,training,ps2,2,2,24,2,white,circle,sounds/C.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062249423
abe,female,22,training_transfer,training,ps2,2,2,25,0,white,circle,sounds/P.wav,,1,1,0,0,1,,1,0,0,,no,,1,Studerende,1,,,1555062252049
abe,female,22,training_transfer,training,ps2,2,2,26,4,white,circle,sounds/D.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062254619
abe,female,22,training_transfer,training,ps2,2,2,27,0,white,circle,sounds/P.wav,,1,1,0,1,1,,0,0,0,,no,,1,Studerende,1,,,1555062257196
abe,female,22,training_transfer,training,ps2,2,2,28,1,white,circle,sounds/E.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062259774
abe,female,22,training_transfer,training,ps2,2,2,29,8,white,circle,sounds/G.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062262357
abe,female,22,training_transfer,training,ps2,2,2,30,2,white,circle,sounds/T.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062264941
abe,female,22,training_transfer,training,ps2,2,2,31,5,white,circle,sounds/P.wav,,1,1,0,0,0,,1,0,0,,no,,1,Studerende,0,,,1555062267538
abe,female,22,training_transfer,training,ps2,2,2,32,6,white,circle,sounds/V.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062270107
abe,female,22,training_transfer,training,ps2,2,2,33,7,white,circle,sounds/G.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062272691
abe,female,22,training_transfer,training,ps2,2,2,34,8,white,circle,sounds/V.wav,,1,1,0,1,0,,0,0,0,,no,,1,Studerende,0,,,1555062275274
abe,female,22,training_transfer,training,ps2,2,2,35,6,white,circle,sounds/D.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062277856
abe,female,22,training_transfer,training,ps2,2,2,36,6,white,circle,sounds/E.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062280441
abe,female,22,training_transfer,training,ps2,2,2,37,6,white,circle,sounds/D.wav,,1,1,0,1,1,,0,0,0,,no,,1,Studerende,1,,,1555062283041
abe,female,22,training_transfer,training,ps2,2,2,38,0,white,circle,sounds/C.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062285625
abe,female,22,training_transfer,training,ps2,2,2,39,6,white,circle,sounds/G.wav,,1,1,0,0,1,,1,0,0,,no,,1,Studerende,1,,,1555062288240
abe,female,22,training_transfer,training,ps2,2,2,40,2,white,circle,sounds/B.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062290826
