id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_tested,position_target,timestamp,sound_tested,position_score,figure_response,color_score,simulate,sound_response,occupation,sound_target,color_target,color_response,position_response,sound_score,color_tested,figure_target,figure_tested
ugle,male,26,training_train,practice,pcfs1,4,1,28,4,darkorange,square,sounds/P.wav,1,1,0,1555698071740,1,1,0,1,no,0,I arbejde,1,1,1,0,0,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,29,7,yellow,circle,sounds/V.wav,1,1,0,1555698075323,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,30,4,yellow,circle,sounds/V.wav,0,1,0,1555698078935,1,1,0,1,no,0,I arbejde,1,1,1,0,0,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,31,4,yellow,triangle,sounds/V.wav,1,1,1,1555698082549,1,0,0,0,no,1,I arbejde,1,1,0,0,1,1,0,1
ugle,male,26,training_train,pretest,pc2,2,2,1,3,red,circle,,,1,0,1555698104240,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,2,2,green,circle,,,1,0,1555698106806,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,3,6,green,circle,,,1,0,1555698109395,0,1,,0,no,,I arbejde,,0,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,4,6,darkorange,circle,,,1,0,1555698111978,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,5,2,blue,circle,,,1,0,1555698114544,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,6,6,dimgray,circle,,,1,1,1555698117113,0,0,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,7,1,white,circle,,,1,0,1555698119681,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,8,7,yellow,circle,,,1,0,1555698122251,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,9,1,dimgray,circle,,,1,1,1555698124816,0,0,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,10,7,yellow,circle,,,1,1,1555698127385,0,0,,0,no,,I arbejde,,1,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,11,3,green,circle,,,1,0,1555698129948,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,12,2,white,circle,,,1,0,1555698132520,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,13,7,dimgray,circle,,,1,0,1555698135089,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,14,3,green,circle,,,1,0,1555698137681,0,1,,0,no,,I arbejde,,0,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,15,3,green,circle,,,1,0,1555698140273,0,0,,1,no,,I arbejde,,0,0,1,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,16,2,red,circle,,,1,0,1555698142841,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,17,7,green,circle,,,1,0,1555698145434,0,1,,1,no,,I arbejde,,1,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,18,6,dimgray,circle,,,1,0,1555698148011,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,19,0,white,circle,,,1,0,1555698150580,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,20,6,dimgray,circle,,,1,1,1555698153186,0,1,,1,no,,I arbejde,,1,1,1,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,21,6,dimgray,circle,,,1,0,1555698155781,0,0,,1,no,,I arbejde,,0,0,1,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,22,6,dimgray,circle,,,1,1,1555698158367,0,0,,1,no,,I arbejde,,1,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,23,3,red,circle,,,1,0,1555698160933,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,24,0,dimgray,circle,,,1,0,1555698163522,0,1,,1,no,,I arbejde,,1,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,25,6,yellow,circle,,,1,0,1555698166106,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,26,1,dimgray,circle,,,1,0,1555698168695,0,1,,1,no,,I arbejde,,1,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,27,5,white,circle,,,1,0,1555698171269,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,28,4,dimgray,circle,,,1,0,1555698173879,0,0,,1,no,,I arbejde,,1,1,1,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,29,4,blue,circle,,,1,0,1555698176459,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,30,0,dimgray,circle,,,1,0,1555698179025,0,1,,0,no,,I arbejde,,1,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,31,5,blue,circle,,,1,0,1555698181620,0,1,,1,no,,I arbejde,,1,1,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,32,1,red,circle,,,1,0,1555698184197,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,33,5,dimgray,circle,,,1,1,1555698186778,0,0,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,34,4,green,circle,,,1,0,1555698189349,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,35,2,dimgray,circle,,,1,0,1555698191918,0,1,,0,no,,I arbejde,,1,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,36,3,blue,circle,,,1,0,1555698194484,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,37,2,dimgray,circle,,,1,1,1555698197053,0,0,,0,no,,I arbejde,,1,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,38,3,red,circle,,,1,1,1555698199622,0,0,,1,no,,I arbejde,,0,0,0,,1,,0
ugle,male,26,training_train,pretest,pc2,2,2,39,4,white,circle,,,1,0,1555698202188,0,1,,1,no,,I arbejde,,0,0,0,,1,,0
