id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,pcs1,3,1,56,1,dimgray,circle,sounds/T.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554982009012,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,57,1,white,circle,sounds/D.wav,1,0,0,0,1,0,Studerende,1,1,0,1,1,,,,1554982012627,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,58,7,white,circle,sounds/D.wav,0,1,1,1,0,0,Studerende,1,1,0,1,1,,,,1554982016263,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,59,7,red,circle,sounds/D.wav,1,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554982019909,0,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,60,7,red,circle,sounds/E.wav,1,1,1,0,1,0,Studerende,1,1,1,1,1,,,,1554982023479,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,61,0,yellow,circle,sounds/D.wav,0,1,0,0,0,0,Studerende,1,1,0,0,1,,,,1554982027109,1,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,1,4,blue,square,sounds/G.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982048189,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,2,4,darkorange,square,sounds/G.wav,,1,0,1,,1,Studerende,1,0,0,0,1,1,1,1,1554982051805,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,3,4,dimgray,circle,sounds/B.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982055411,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,4,4,dimgray,triangle,sounds/B.wav,,1,1,1,,1,Studerende,1,0,0,1,1,0,1,0,1554982058951,,no,0
