id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,figure_score,color_response,color_tested,sound_response,figure_response,simulate,sound_tested,color_target,color_score,position_score,figure_target,position_target,timestamp,sound_target,figure_tested,occupation,position_tested,sound_score
chimpanse,female,,training_train,pretest,fcs1,3,1,33,4,white,circle,sounds/B.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798705986,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,34,4,white,triangle,sounds/D.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798709595,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,35,4,green,star,sounds/T.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798713189,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,36,4,yellow,circle,sounds/T.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798716799,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,37,4,darkorange,circle,sounds/V.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798720407,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,38,4,blue,square,sounds/B.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798724007,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,39,4,darkorange,square,sounds/E.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798727629,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,40,4,dimgray,triangle,sounds/E.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798731240,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,41,4,green,square,sounds/D.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798734839,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,42,4,white,star,sounds/P.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798738441,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,43,4,white,star,sounds/E.wav,,1,1,1,0,1,no,1,1,1,,1,,1554798742061,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,44,4,blue,triangle,sounds/C.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798745657,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,45,4,white,star,sounds/B.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798749242,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,46,4,white,triangle,sounds/V.wav,,1,0,1,0,0,no,1,1,0,,1,,1554798752841,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,47,4,yellow,square,sounds/P.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798756443,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,48,4,yellow,circle,sounds/P.wav,,1,1,1,1,0,no,1,1,1,,1,,1554798760080,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,49,4,white,star,sounds/T.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798763677,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,50,4,blue,triangle,sounds/C.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798767276,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,51,4,white,circle,sounds/C.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798770898,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,52,4,blue,triangle,sounds/V.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798774495,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,53,4,darkorange,square,sounds/P.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798778094,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,54,4,green,square,sounds/V.wav,,0,0,1,0,0,no,1,0,1,,1,,1554798781679,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,55,4,dimgray,square,sounds/V.wav,,1,0,1,1,1,no,1,0,1,,1,,1554798785295,1,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,56,4,dimgray,triangle,sounds/B.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798788903,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,57,4,dimgray,star,sounds/B.wav,,1,1,1,1,0,no,1,1,1,,1,,1554798792526,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,58,4,yellow,triangle,sounds/E.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798796113,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,59,4,blue,star,sounds/V.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798799713,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,60,4,darkorange,star,sounds/V.wav,,0,0,1,1,0,no,1,0,1,,1,,1554798803338,1,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,61,4,green,circle,sounds/V.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798806943,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,1,4,blue,square,sounds/G.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798823416,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,2,6,red,star,sounds/G.wav,0,1,0,1,1,0,no,1,0,1,1,1,0,1554798827024,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,3,2,red,star,sounds/E.wav,0,1,1,1,0,1,no,1,1,1,1,1,0,1554798830646,0,1,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,4,1,red,circle,sounds/P.wav,0,1,1,1,0,0,no,1,1,1,1,1,0,1554798834251,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,5,6,white,triangle,sounds/T.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798837851,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,6,6,green,star,sounds/T.wav,0,1,0,1,1,0,no,1,0,1,0,1,1,1554798841464,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,7,4,green,star,sounds/B.wav,0,1,1,1,0,1,no,1,1,1,1,1,0,1554798845084,0,1,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,8,3,blue,square,sounds/B.wav,0,1,0,1,1,0,no,1,0,1,1,1,0,1554798848697,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,9,7,darkorange,square,sounds/C.wav,0,0,0,1,0,0,no,1,0,1,1,1,0,1554798852286,0,1,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,10,8,red,star,sounds/P.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798855888,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,11,6,dimgray,square,sounds/T.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798859487,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,12,6,green,square,sounds/G.wav,1,1,0,1,0,1,no,1,0,1,1,1,1,1554798863106,0,1,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,13,8,blue,circle,sounds/C.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798866705,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,14,3,red,star,sounds/E.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798870287,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,15,3,green,circle,sounds/E.wav,1,1,0,1,1,0,no,1,0,1,1,1,1,1554798873921,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,16,7,green,square,sounds/E.wav,0,1,1,1,1,0,no,1,1,1,1,1,0,1554798877556,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,17,1,red,star,sounds/P.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798881155,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcfs12,4,1,18,7,yellow,circle,sounds/C.wav,0,1,0,1,0,0,no,1,0,1,1,1,0,1554798884757,0,0,Studerende,1,1
