id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,sound_response,color_tested,position_tested,color_score,figure_tested,timestamp,position_score,occupation,figure_response,color_response,figure_target,figure_score,sound_target,color_target,position_target,sound_tested,sound_score,simulate
Leopard,male,23,training_train,pretest,fc2,2,2,50,4,red,circle,,,,1,0,1,1,1555399118039,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,51,4,red,triangle,,,,1,0,1,1,1555399120589,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,52,4,white,circle,,,,1,0,1,1,1555399123139,,Studerende,0,0,1,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,53,4,red,square,,,,1,0,0,1,1555399125689,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,54,4,blue,triangle,,,,1,0,1,1,1555399128240,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,55,4,dimgray,square,,,,1,0,1,1,1555399130790,,Studerende,0,0,1,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,56,4,yellow,circle,,,,1,0,1,1,1555399133340,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,57,4,blue,circle,,,,1,0,1,1,1555399135890,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,58,4,dimgray,square,,,,1,0,1,1,1555399138440,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,59,4,dimgray,square,,,,1,0,1,1,1555399140989,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,60,4,white,square,,,,1,0,1,1,1555399143539,,Studerende,0,0,1,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,61,4,dimgray,star,,,,1,0,0,1,1555399146090,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,62,4,white,star,,,,1,0,0,1,1555399148640,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,pcs1,3,1,1,8,white,circle,sounds\E.wav,0,0,1,1,1,0,1555399236009,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,2,5,blue,circle,sounds\B.wav,0,0,1,1,1,0,1555399239559,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,3,7,yellow,circle,sounds\D.wav,0,0,1,1,1,0,1555399243109,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,4,4,red,circle,sounds\C.wav,0,0,1,1,1,0,1555399246660,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,5,1,green,circle,sounds\V.wav,0,0,1,1,1,0,1555399250208,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,6,4,green,circle,sounds\D.wav,0,0,1,1,1,0,1555399253778,1,Studerende,,1,,,0,1,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,7,2,darkorange,circle,sounds\T.wav,0,0,1,1,1,0,1555399257326,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,8,6,red,circle,sounds\B.wav,0,0,1,1,1,0,1555399260876,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,9,6,blue,circle,sounds\E.wav,1,0,1,1,1,0,1555399264442,1,Studerende,,0,,,0,0,1,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,10,6,blue,circle,sounds\P.wav,1,0,1,1,1,0,1555399268026,1,Studerende,,1,,,0,1,1,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,11,8,white,circle,sounds\E.wav,0,0,1,1,1,0,1555399271578,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,12,4,red,circle,sounds\C.wav,0,0,1,1,1,0,1555399275126,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,13,1,darkorange,circle,sounds\P.wav,0,0,1,1,1,0,1555399278676,1,Studerende,,0,,,0,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,14,2,red,circle,sounds\P.wav,0,1,1,1,1,0,1555399282243,1,Studerende,,0,,,1,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,15,8,red,circle,sounds\G.wav,0,0,1,1,1,0,1555399285810,1,Studerende,,1,,,0,1,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,16,2,green,circle,sounds\G.wav,0,1,1,1,1,0,1555399289376,1,Studerende,,0,,,1,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,17,5,red,circle,sounds\G.wav,0,1,1,1,1,0,1555399292943,1,Studerende,,0,,,1,0,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,18,7,red,circle,sounds\C.wav,0,0,1,1,1,0,1555399296510,1,Studerende,,1,,,0,1,0,1,1,no
Leopard,male,23,training_train,pretest,pcs1,3,1,19,0,blue,circle,sounds\C.wav,0,1,1,1,1,0,1555399300076,1,Studerende,,0,,,1,0,0,1,1,no
