id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_response,position_response,color_score,sound_tested,position_score,figure_response,simulate,color_tested,figure_score,occupation,sound_target,position_target,figure_target,color_target,sound_score,color_response,figure_tested,position_tested
Pingvin,male,23,training_train,pretest,pc2,2,2,24,1,dimgray,circle,,1555414067379,,1,1,0,0,,no,1,,I arbejde,,0,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,25,2,green,circle,,1555414069929,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,26,2,dimgray,circle,,1555414072496,,0,1,0,1,,no,1,,I arbejde,,0,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,27,8,blue,circle,,1555414075046,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,28,2,dimgray,circle,,1555414077629,,1,1,0,1,,no,1,,I arbejde,,1,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,29,3,white,circle,,1555414080180,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,30,5,yellow,circle,,1555414082730,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,31,3,red,circle,,1555414085297,,1,1,0,1,,no,1,,I arbejde,,1,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,32,3,yellow,circle,,1555414087863,,0,1,0,1,,no,1,,I arbejde,,0,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,33,4,white,circle,,1555414090413,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,34,0,white,circle,,1555414092963,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,35,3,red,circle,,1555414095513,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,36,7,blue,circle,,1555414098064,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,37,1,white,circle,,1555414100614,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,38,3,blue,circle,,1555414103198,,1,1,0,0,,no,1,,I arbejde,,0,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,39,2,dimgray,circle,,1555414105748,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,40,0,green,circle,,1555414108298,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,41,1,dimgray,circle,,1555414110848,,0,0,0,1,,no,1,,I arbejde,,0,,1,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,42,5,green,circle,,1555414113414,,0,1,0,1,,no,1,,I arbejde,,0,,1,,1,0,1
