id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,training,ps2,2,2,3,2,white,circle,sounds\C.wav,,0,0,1555675622432,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,4,3,white,circle,sounds\C.wav,,0,0,1555675624982,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,5,5,white,circle,sounds\C.wav,,0,0,1555675627532,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,6,0,white,circle,sounds\P.wav,,0,0,1555675630083,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,7,5,white,circle,sounds\P.wav,,1,0,1555675632632,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,8,1,white,circle,sounds\C.wav,,0,0,1555675635182,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,9,8,white,circle,sounds\E.wav,,0,0,1555675637732,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,10,1,white,circle,sounds\G.wav,,1,0,1555675640299,0,0,0,,,1,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,11,3,white,circle,sounds\B.wav,,0,0,1555675642849,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,12,4,white,circle,sounds\V.wav,,0,0,1555675645399,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,13,3,white,circle,sounds\P.wav,,1,0,1555675647966,0,0,0,,,1,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,14,8,white,circle,sounds\E.wav,,0,0,1555675650516,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,15,4,white,circle,sounds\V.wav,,0,0,1555675653067,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,16,4,white,circle,sounds\E.wav,,0,0,1555675655633,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,17,4,white,circle,sounds\P.wav,,1,0,1555675658183,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,18,8,white,circle,sounds\P.wav,,0,0,1555675660733,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,19,0,white,circle,sounds\P.wav,,0,0,1555675663299,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,20,2,white,circle,sounds\D.wav,,0,0,1555675665850,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,21,3,white,circle,sounds\E.wav,,0,0,1555675668400,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,22,0,white,circle,sounds\C.wav,,0,0,1555675670950,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,23,1,white,circle,sounds\D.wav,,0,0,1555675673500,0,0,0,,,1,1,,no,0,Andet,,1,,1
