id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,practice,pcfs1,4,1,24,4,white,star,sounds/G.wav,1,0,no,1,1,1,1,0,1,1,0,0,0,0,1,I arbejde,1,1,1555352076884
Egern,male,23,training_train,practice,pcfs1,4,1,25,1,white,square,sounds/G.wav,1,1,no,0,1,1,1,1,0,0,0,1,0,1,0,I arbejde,1,1,1555352080497
Egern,male,23,training_train,practice,pcfs1,4,1,26,5,green,circle,sounds/B.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,1,1,I arbejde,1,0,1555352084093
Egern,male,23,training_train,practice,pcfs1,4,1,27,5,dimgray,square,sounds/B.wav,1,0,no,0,1,1,1,1,1,0,0,0,1,0,1,I arbejde,1,1,1555352087693
Egern,male,23,training_train,practice,pcfs1,4,1,28,4,white,triangle,sounds/P.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352091292
Egern,male,23,training_train,practice,pcfs1,4,1,29,6,blue,circle,sounds/B.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352094886
Egern,male,23,training_train,practice,pcfs1,4,1,30,7,red,circle,sounds/G.wav,1,1,no,1,1,1,1,0,0,1,0,0,0,0,1,I arbejde,1,1,1555352098491
Egern,male,23,training_train,practice,pcfs1,4,1,31,6,red,square,sounds/T.wav,1,1,no,0,1,1,1,0,0,0,0,1,0,1,1,I arbejde,1,1,1555352102107
Egern,male,23,training_train,pretest,pc2,2,2,1,3,green,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352130319
Egern,male,23,training_train,pretest,pc2,2,2,2,6,blue,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352132891
Egern,male,23,training_train,pretest,pc2,2,2,3,3,red,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352135482
Egern,male,23,training_train,pretest,pc2,2,2,4,4,green,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352138077
Egern,male,23,training_train,pretest,pc2,2,2,5,7,yellow,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352140646
Egern,male,23,training_train,pretest,pc2,2,2,6,4,blue,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352143238
